,Ann Return,Ann Vol,Sharpe,Max Drawdown,Alpha,Beta
Momentum Strategy,0.09879205024645676,0.1150315665972831,0.879290425613104,-0.1837935422081881,0.01879988681323231,0.7389213689496886
IWDA Buy Hold,0.10789242867000182,0.1330020621195102,0.8456288293572636,-0.1860998322919346,,
Equal Weight,0.10232929295652093,0.12545431954144062,0.848229121283373,-0.18379354220818822,,
